Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,952.0mV,120.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
218,-584.000000,2720.000000
219,-584.000000,2720.000000
220,-584.000000,2720.000000
221,-584.000000,2720.000000
222,-584.000000,2720.000000
223,-584.000000,2720.000000
224,-584.000000,2720.000000
225,-584.000000,2720.000000
226,-584.000000,2720.000000
227,-584.000000,2720.000000
228,-584.000000,2720.000000
229,-584.000000,2720.000000
230,-584.000000,2720.000000
231,-584.000000,2720.000000
232,-584.000000,2720.000000
233,-584.000000,2720.000000
234,-584.000000,2720.000000
235,-584.000000,2720.000000
236,-584.000000,2720.000000
237,-584.000000,2720.000000
238,-584.000000,2720.000000
239,-584.000000,2720.000000
240,-584.000000,2720.000000
241,-584.000000,2720.000000
242,-584.000000,2720.000000
243,-584.000000,2720.000000
244,-584.000000,2720.000000
245,-584.000000,2680.000000
246,-576.000000,2720.000000
247,-584.000000,2720.000000
248,-584.000000,2720.000000
249,-584.000000,2720.000000
250,-584.000000,2720.000000
251,-584.000000,2720.000000
252,-584.000000,2720.000000
253,-584.000000,2720.000000
254,-584.000000,2720.000000
255,-584.000000,2720.000000
256,-592.000000,2720.000000
257,-584.000000,2720.000000
258,-584.000000,2720.000000
259,-584.000000,2720.000000
260,-584.000000,2720.000000
261,-584.000000,2720.000000
262,-584.000000,2720.000000
263,-584.000000,2720.000000
264,-584.000000,2720.000000
265,-584.000000,2720.000000
266,-584.000000,2720.000000
267,-584.000000,2720.000000
268,-584.000000,2720.000000
269,-584.000000,2720.000000
270,-584.000000,2720.000000
271,-584.000000,2720.000000
272,-584.000000,2720.000000
273,-584.000000,2720.000000
274,-592.000000,2720.000000
275,-584.000000,2720.000000
276,-592.000000,2720.000000
277,-584.000000,2720.000000
278,-584.000000,2720.000000
279,-584.000000,2720.000000
280,-584.000000,2720.000000
281,-584.000000,2720.000000
282,-584.000000,2720.000000
283,-584.000000,2720.000000
284,-584.000000,2720.000000
285,-584.000000,2680.000000
286,-576.000000,2720.000000
287,-576.000000,2720.000000
288,-576.000000,2720.000000
289,-576.000000,2720.000000
290,-576.000000,2720.000000
291,-568.000000,2720.000000
292,-568.000000,2720.000000
293,-568.000000,2720.000000
294,-568.000000,2720.000000
295,-576.000000,2760.000000
296,-568.000000,2760.000000
297,-568.000000,2720.000000
298,-568.000000,2760.000000
299,-568.000000,2720.000000
300,-568.000000,2720.000000
301,-568.000000,2720.000000
302,-560.000000,2720.000000
303,-560.000000,2720.000000
304,-568.000000,2720.000000
305,-568.000000,2720.000000
306,-568.000000,2720.000000
307,-560.000000,2720.000000
308,-568.000000,2720.000000
309,-560.000000,2720.000000
310,-568.000000,2720.000000
311,-560.000000,2720.000000
312,-560.000000,2720.000000
313,-560.000000,2760.000000
314,-560.000000,2720.000000
315,-560.000000,2720.000000
316,-560.000000,2720.000000
317,-560.000000,2720.000000
318,-560.000000,2720.000000
319,-560.000000,2720.000000
320,-560.000000,2720.000000
321,-560.000000,2720.000000
322,-552.000000,2720.000000
323,-544.000000,2760.000000
324,-560.000000,2680.000000
325,-544.000000,2720.000000
326,-568.000000,2720.000000
327,-560.000000,2720.000000
328,-560.000000,2720.000000
329,-560.000000,2720.000000
330,-560.000000,2720.000000
331,-560.000000,2720.000000
332,-560.000000,2720.000000
333,-560.000000,2720.000000
334,-560.000000,2720.000000
335,-568.000000,2720.000000
336,-568.000000,2720.000000
337,-560.000000,2720.000000
338,-560.000000,2720.000000
339,-560.000000,2720.000000
340,-560.000000,2720.000000
341,-568.000000,2720.000000
342,-560.000000,2720.000000
343,-560.000000,2720.000000
344,-560.000000,2720.000000
345,-560.000000,2720.000000
346,-560.000000,2720.000000
347,-568.000000,2720.000000
348,-560.000000,2720.000000
349,-560.000000,2720.000000
350,-560.000000,2720.000000
351,-560.000000,2720.000000
352,-560.000000,2720.000000
353,-560.000000,2680.000000
354,-568.000000,2720.000000
355,-560.000000,2720.000000
356,-568.000000,2720.000000
357,-560.000000,2680.000000
358,-560.000000,2720.000000
359,-560.000000,2720.000000
360,-560.000000,2720.000000
361,-560.000000,2720.000000
362,-560.000000,2720.000000
363,-560.000000,2720.000000
364,-552.000000,2720.000000
365,-560.000000,2720.000000
366,-560.000000,2720.000000
367,-560.000000,2720.000000
368,-560.000000,2720.000000
369,-560.000000,2720.000000
370,-560.000000,2720.000000
371,-560.000000,2720.000000
372,-560.000000,2720.000000
373,-560.000000,2720.000000
374,-568.000000,2680.000000
375,-560.000000,2720.000000
376,-560.000000,2720.000000
377,-560.000000,2720.000000
378,-560.000000,2720.000000
379,-560.000000,2720.000000
380,-560.000000,2720.000000
381,-560.000000,2720.000000
382,-560.000000,2720.000000
383,-560.000000,2720.000000
384,-560.000000,2720.000000
385,-560.000000,2720.000000
386,-560.000000,2720.000000
387,-560.000000,2720.000000
388,-568.000000,2720.000000
389,-568.000000,2720.000000
390,-568.000000,2720.000000
391,-568.000000,2720.000000
392,-560.000000,2720.000000
393,-560.000000,2720.000000
394,-560.000000,2720.000000
395,-560.000000,2720.000000
396,-568.000000,2720.000000
397,-560.000000,2720.000000
398,-560.000000,2680.000000
399,-568.000000,2720.000000
400,-560.000000,2720.000000
401,-560.000000,2720.000000
402,-560.000000,2720.000000
403,-560.000000,2720.000000
404,-568.000000,2720.000000
405,-560.000000,2720.000000
406,-560.000000,2720.000000
407,-560.000000,2720.000000
408,-560.000000,2720.000000
409,-560.000000,2720.000000
410,-560.000000,2720.000000
411,-568.000000,2760.000000
412,-560.000000,2680.000000
413,-560.000000,2760.000000
414,-560.000000,2720.000000
415,-560.000000,2720.000000
416,-560.000000,2720.000000
417,-560.000000,2720.000000
418,-568.000000,2720.000000
419,-560.000000,2760.000000
420,-560.000000,2760.000000
421,-560.000000,2720.000000
422,-560.000000,2720.000000
423,-560.000000,2720.000000
424,-560.000000,2720.000000
425,-560.000000,2720.000000
426,-560.000000,2680.000000
427,-560.000000,2760.000000
428,-568.000000,2720.000000
429,-560.000000,2720.000000
430,-560.000000,2720.000000
431,-568.000000,2720.000000
432,-560.000000,2720.000000
433,-568.000000,2720.000000
434,-560.000000,2720.000000
435,-560.000000,2760.000000
436,-560.000000,2720.000000
437,-560.000000,2720.000000
438,-560.000000,2720.000000
439,-560.000000,2720.000000
440,-560.000000,2720.000000
441,-560.000000,2720.000000
442,-560.000000,2720.000000
443,-560.000000,2720.000000
444,-568.000000,2720.000000
445,-560.000000,2720.000000
446,-560.000000,2720.000000
447,-560.000000,2720.000000
448,-560.000000,2760.000000
449,-560.000000,2720.000000
450,-560.000000,2720.000000
451,-560.000000,2720.000000
452,-560.000000,2720.000000
453,-568.000000,2720.000000
454,-560.000000,2720.000000
455,-560.000000,2720.000000
456,-560.000000,2720.000000
457,-560.000000,2720.000000
458,-560.000000,2720.000000
459,-568.000000,2720.000000
460,-560.000000,2720.000000
461,-568.000000,2720.000000
462,-560.000000,2720.000000
463,-560.000000,2720.000000
464,-560.000000,2720.000000
465,-560.000000,2720.000000
466,-560.000000,2720.000000
467,-560.000000,2720.000000
468,-560.000000,2720.000000
469,-568.000000,2720.000000
470,-560.000000,2720.000000
471,-560.000000,2720.000000
472,-560.000000,2760.000000
473,-560.000000,2720.000000
474,-560.000000,2720.000000
475,-560.000000,2720.000000
476,-560.000000,2720.000000
477,-560.000000,2720.000000
478,-560.000000,2720.000000
479,-560.000000,2720.000000
480,-560.000000,2720.000000
481,-560.000000,2720.000000
482,-560.000000,2720.000000
483,-560.000000,2720.000000
484,-560.000000,2720.000000
485,-560.000000,2680.000000
486,-560.000000,2720.000000
487,-560.000000,2720.000000
488,-560.000000,2720.000000
489,-560.000000,2720.000000
490,-560.000000,2720.000000
491,-560.000000,2720.000000
492,-560.000000,2720.000000
493,-560.000000,2720.000000
494,-560.000000,2760.000000
495,-560.000000,2760.000000
496,-560.000000,2720.000000
497,-560.000000,2720.000000
498,-560.000000,2680.000000
499,-560.000000,2720.000000
500,-560.000000,2720.000000
501,-560.000000,2720.000000
502,-560.000000,2720.000000
503,-568.000000,2720.000000
504,-560.000000,2760.000000
505,-560.000000,2720.000000
506,-560.000000,2720.000000
507,-560.000000,2720.000000
508,-560.000000,2720.000000
509,-560.000000,2720.000000
510,-560.000000,2720.000000
511,-560.000000,2720.000000
512,-560.000000,2680.000000
513,-560.000000,2720.000000
514,-560.000000,2720.000000
515,-560.000000,2720.000000
516,-568.000000,2720.000000
517,-560.000000,2720.000000
518,-560.000000,2720.000000
519,-552.000000,2720.000000
520,-560.000000,2760.000000
521,-552.000000,2720.000000
522,-560.000000,2720.000000
523,-560.000000,2720.000000
524,-568.000000,2720.000000
525,-560.000000,2720.000000
526,-560.000000,2720.000000
527,-560.000000,2720.000000
528,-568.000000,2720.000000
529,-568.000000,2720.000000
530,-560.000000,2720.000000
531,-560.000000,2720.000000
532,-560.000000,2720.000000
533,-560.000000,2720.000000
534,-560.000000,2720.000000
535,-568.000000,2720.000000
536,-568.000000,2720.000000
537,-560.000000,2720.000000
538,-560.000000,2720.000000
539,-560.000000,2720.000000
540,-560.000000,2720.000000
541,-560.000000,2720.000000
542,-560.000000,2720.000000
543,-560.000000,2720.000000
544,-552.000000,2720.000000
545,-560.000000,2760.000000
546,-560.000000,2720.000000
547,-560.000000,2720.000000
548,-560.000000,2720.000000
549,-560.000000,2720.000000
550,-568.000000,2720.000000
551,-560.000000,2720.000000
552,-560.000000,2720.000000
553,-560.000000,2720.000000
554,-560.000000,2720.000000
555,-568.000000,2720.000000
556,-568.000000,2680.000000
557,-568.000000,2720.000000
558,-568.000000,2720.000000
559,-560.000000,2720.000000
560,-568.000000,2720.000000
561,-568.000000,2720.000000
562,-568.000000,2720.000000
563,-568.000000,2720.000000
564,-568.000000,2720.000000
565,-568.000000,2720.000000
566,-568.000000,2720.000000
567,-568.000000,2720.000000
568,-568.000000,2720.000000
569,-568.000000,2720.000000
570,-568.000000,2720.000000
571,-568.000000,2720.000000
572,-568.000000,2720.000000
573,-568.000000,2720.000000
574,-568.000000,2720.000000
575,-568.000000,2760.000000
576,-568.000000,2720.000000
577,-568.000000,2720.000000
578,-568.000000,2720.000000
579,-592.000000,2720.000000
580,-568.000000,2720.000000
581,-568.000000,2720.000000
582,-568.000000,2720.000000
583,-568.000000,2720.000000
584,-568.000000,2720.000000
585,-568.000000,2720.000000
586,-568.000000,2720.000000
587,-568.000000,2720.000000
588,-568.000000,2720.000000
589,-568.000000,2720.000000
590,-568.000000,2720.000000
591,-568.000000,2720.000000
592,-560.000000,2720.000000
593,-568.000000,2720.000000
594,-568.000000,2720.000000
595,-568.000000,2720.000000
596,-568.000000,2720.000000
597,-568.000000,2760.000000
598,-568.000000,2720.000000
599,-568.000000,2720.000000
600,-568.000000,2720.000000
601,-568.000000,2720.000000
602,-568.000000,2720.000000
603,-568.000000,2720.000000
604,-568.000000,2720.000000
605,-576.000000,2720.000000
606,-568.000000,2720.000000
607,-568.000000,2760.000000
608,-568.000000,2720.000000
609,-568.000000,2720.000000
610,-568.000000,2720.000000
611,-568.000000,2720.000000
612,-568.000000,2720.000000
613,-568.000000,2720.000000
614,-568.000000,2720.000000
615,-568.000000,2720.000000
616,-568.000000,2760.000000
617,-568.000000,2760.000000
618,-568.000000,2720.000000
619,-568.000000,2720.000000
620,-568.000000,2720.000000
621,-560.000000,2720.000000
622,-568.000000,2760.000000
623,-568.000000,2720.000000
624,-568.000000,2720.000000
625,-568.000000,2720.000000
626,-568.000000,2720.000000
627,-568.000000,2720.000000
628,-568.000000,2720.000000
629,-568.000000,2680.000000
630,-568.000000,2720.000000
631,-568.000000,2720.000000
632,-568.000000,2760.000000
633,-568.000000,2760.000000
634,-568.000000,2720.000000
635,-568.000000,2720.000000
636,-568.000000,2720.000000
637,-568.000000,2720.000000
638,-568.000000,2680.000000
639,-568.000000,2720.000000
640,-568.000000,2720.000000
641,-568.000000,2720.000000
642,-576.000000,2720.000000
643,-568.000000,2720.000000
644,-568.000000,2720.000000
645,-568.000000,2720.000000
646,-568.000000,2720.000000
647,-568.000000,2720.000000
648,-568.000000,2720.000000
649,-568.000000,2720.000000
650,-568.000000,2720.000000
651,-568.000000,2720.000000
652,-568.000000,2720.000000
653,-568.000000,2760.000000
654,-568.000000,2720.000000
655,-568.000000,2720.000000
656,-568.000000,2720.000000
657,-568.000000,2680.000000
658,-568.000000,2720.000000
659,-568.000000,2720.000000
660,-568.000000,2720.000000
661,-568.000000,2720.000000
662,-568.000000,2720.000000
663,-568.000000,2720.000000
664,-568.000000,2680.000000
665,-568.000000,2720.000000
666,-568.000000,2720.000000
667,-568.000000,2720.000000
668,-568.000000,2720.000000
669,-568.000000,2720.000000
670,-568.000000,2720.000000
671,-568.000000,2720.000000
672,-568.000000,2720.000000
673,-568.000000,2720.000000
674,-568.000000,2720.000000
675,-560.000000,2720.000000
676,-568.000000,2720.000000
677,-568.000000,2720.000000
678,-568.000000,2720.000000
679,-568.000000,2720.000000
680,-568.000000,2720.000000
681,-560.000000,2720.000000
682,-568.000000,2720.000000
683,-568.000000,2680.000000
684,-568.000000,2720.000000
685,-568.000000,2720.000000
686,-568.000000,2720.000000
687,-568.000000,2720.000000
688,-560.000000,2720.000000
689,-568.000000,2720.000000
690,-568.000000,2720.000000
691,-568.000000,2720.000000
692,-568.000000,2720.000000
693,-560.000000,2720.000000
694,-568.000000,2720.000000
695,-560.000000,2720.000000
696,-568.000000,2720.000000
697,-568.000000,2720.000000
698,-568.000000,2720.000000
699,-568.000000,2760.000000
700,-568.000000,2760.000000
701,-568.000000,2720.000000
702,-568.000000,2720.000000
703,-568.000000,2720.000000
704,-568.000000,2720.000000
705,-568.000000,2720.000000
706,-560.000000,2720.000000
707,-568.000000,2720.000000
708,-568.000000,2720.000000
709,-560.000000,2720.000000
710,-568.000000,2720.000000
711,-568.000000,2720.000000
712,-568.000000,2720.000000
713,-568.000000,2720.000000
714,-560.000000,2760.000000
715,-568.000000,2720.000000
716,-568.000000,2760.000000
717,-560.000000,2720.000000
718,-568.000000,2720.000000
719,-568.000000,2720.000000
720,-568.000000,2720.000000
721,-568.000000,2720.000000
722,-568.000000,2760.000000
723,-560.000000,2720.000000
724,-568.000000,2720.000000
725,-568.000000,2720.000000
726,-568.000000,2720.000000
727,-544.000000,2720.000000
728,-568.000000,2720.000000
729,-568.000000,2720.000000
730,-568.000000,2720.000000
731,-568.000000,2720.000000
732,-568.000000,2720.000000
733,-560.000000,2720.000000
734,-568.000000,2720.000000
735,-568.000000,2720.000000
736,-568.000000,2720.000000
737,-560.000000,2720.000000
738,-568.000000,2720.000000
739,-568.000000,2760.000000
740,-568.000000,2720.000000
741,-568.000000,2720.000000
742,-568.000000,2720.000000
743,-560.000000,2720.000000
744,-568.000000,2720.000000
745,-568.000000,2720.000000
746,-568.000000,2720.000000
747,-568.000000,2720.000000
748,-568.000000,2720.000000
749,-568.000000,2720.000000
750,-560.000000,2720.000000
751,-560.000000,2720.000000
752,-568.000000,2720.000000
753,-568.000000,2720.000000
754,-568.000000,2720.000000
755,-568.000000,2720.000000
756,-560.000000,2720.000000
757,-568.000000,2720.000000
758,-568.000000,2720.000000
759,-568.000000,2720.000000
760,-568.000000,2720.000000
761,-568.000000,2720.000000
762,-568.000000,2720.000000
763,-568.000000,2680.000000
764,-568.000000,2720.000000
765,-568.000000,2720.000000
766,-576.000000,2720.000000
767,-568.000000,2720.000000
