Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,424.0mV,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
325,-96.000000,3000.000000
326,-100.000000,2960.000000
327,-100.000000,3000.000000
328,-100.000000,2960.000000
329,-96.000000,2960.000000
330,-100.000000,2960.000000
331,-104.000000,2960.000000
332,-100.000000,3000.000000
333,-104.000000,3000.000000
334,-100.000000,3000.000000
335,-92.000000,3000.000000
336,-100.000000,3000.000000
337,-104.000000,2960.000000
338,-104.000000,3000.000000
339,-100.000000,3000.000000
340,-96.000000,3000.000000
341,-104.000000,2960.000000
342,-104.000000,2960.000000
343,-104.000000,3000.000000
344,-100.000000,2960.000000
345,-100.000000,3000.000000
346,-100.000000,2960.000000
347,-96.000000,2960.000000
348,-92.000000,2920.000000
349,-96.000000,3000.000000
350,-100.000000,2960.000000
351,-100.000000,2960.000000
352,-100.000000,2960.000000
353,-104.000000,2960.000000
354,-100.000000,3000.000000
355,-100.000000,2960.000000
356,-96.000000,2960.000000
357,-100.000000,3000.000000
358,-104.000000,2960.000000
359,-104.000000,3000.000000
360,-96.000000,2960.000000
361,-100.000000,2960.000000
362,-100.000000,3000.000000
363,-96.000000,3000.000000
364,-100.000000,3000.000000
365,-100.000000,2960.000000
366,-104.000000,3000.000000
367,-96.000000,3000.000000
368,-100.000000,3000.000000
369,-100.000000,2960.000000
370,-104.000000,2960.000000
371,-100.000000,3000.000000
372,-104.000000,2960.000000
373,-100.000000,2960.000000
374,-96.000000,3000.000000
375,-96.000000,2960.000000
376,-104.000000,3000.000000
377,-92.000000,2960.000000
378,-100.000000,2960.000000
379,-100.000000,2960.000000
380,-108.000000,2960.000000
381,-44.000000,2960.000000
382,32.000000,2960.000000
383,100.000000,3000.000000
384,144.000000,2960.000000
385,196.000000,2960.000000
386,216.000000,3000.000000
387,232.000000,2960.000000
388,212.000000,3000.000000
389,140.000000,3000.000000
390,100.000000,3000.000000
391,56.000000,2960.000000
392,28.000000,3000.000000
393,-4.000000,2960.000000
394,-16.000000,2960.000000
395,-40.000000,2960.000000
396,-44.000000,2960.000000
397,-64.000000,3000.000000
398,-64.000000,3000.000000
399,-76.000000,2960.000000
400,-76.000000,2960.000000
401,-76.000000,2960.000000
402,-84.000000,3000.000000
403,-88.000000,2960.000000
404,-92.000000,2960.000000
405,-92.000000,3000.000000
406,-92.000000,2960.000000
407,-96.000000,2960.000000
408,-96.000000,2960.000000
409,-92.000000,2960.000000
410,-96.000000,3000.000000
411,-92.000000,3000.000000
412,-100.000000,2960.000000
413,-92.000000,3000.000000
414,-96.000000,2960.000000
415,-96.000000,3000.000000
416,-100.000000,2960.000000
417,-96.000000,2960.000000
418,-100.000000,2960.000000
419,-96.000000,2960.000000
420,-100.000000,2960.000000
421,-100.000000,3000.000000
422,-100.000000,3000.000000
423,-100.000000,2960.000000
424,-96.000000,2960.000000
425,-100.000000,3000.000000
426,-100.000000,2960.000000
427,-96.000000,3000.000000
428,-104.000000,2960.000000
429,-100.000000,2960.000000
430,-100.000000,2960.000000
431,-100.000000,3000.000000
432,-96.000000,3000.000000
433,-104.000000,2960.000000
434,-96.000000,2960.000000
435,-96.000000,2960.000000
436,-100.000000,3000.000000
437,-100.000000,2960.000000
438,-100.000000,3000.000000
439,-96.000000,3000.000000
440,-100.000000,2960.000000
441,-96.000000,3000.000000
442,-100.000000,2960.000000
443,-104.000000,2960.000000
444,-100.000000,2960.000000
445,-104.000000,3000.000000
446,-100.000000,2960.000000
447,-100.000000,2960.000000
448,-100.000000,2960.000000
449,-100.000000,2960.000000
450,-96.000000,2960.000000
451,-100.000000,3000.000000
452,-96.000000,2960.000000
453,-96.000000,2960.000000
454,-100.000000,2960.000000
455,-96.000000,2960.000000
456,-96.000000,3000.000000
457,-100.000000,2960.000000
458,-96.000000,2960.000000
459,-100.000000,2960.000000
460,-100.000000,2960.000000
461,-104.000000,2960.000000
462,-96.000000,2960.000000
463,-108.000000,3000.000000
464,-100.000000,3000.000000
465,-104.000000,3000.000000
466,-100.000000,3000.000000
467,-96.000000,2960.000000
468,-96.000000,3000.000000
469,-100.000000,2960.000000
470,-100.000000,2960.000000
471,-100.000000,2960.000000
472,-104.000000,3000.000000
473,-100.000000,2960.000000
474,-96.000000,2960.000000
475,-104.000000,2960.000000
476,-104.000000,2960.000000
477,-96.000000,3000.000000
478,-96.000000,3000.000000
479,-96.000000,2960.000000
480,-104.000000,3000.000000
481,-96.000000,2960.000000
482,-100.000000,2960.000000
483,-96.000000,2960.000000
484,-100.000000,2960.000000
485,-92.000000,3000.000000
486,-96.000000,2960.000000
487,-96.000000,2960.000000
488,-96.000000,2960.000000
489,-96.000000,2960.000000
490,-100.000000,3000.000000
491,-96.000000,2960.000000
492,-100.000000,3000.000000
493,-96.000000,2960.000000
494,-104.000000,3000.000000
495,-100.000000,3000.000000
496,-104.000000,2960.000000
497,-100.000000,2960.000000
498,-100.000000,3000.000000
499,-100.000000,2960.000000
500,-104.000000,2960.000000
501,-100.000000,2960.000000
502,-100.000000,2960.000000
503,-104.000000,3000.000000
504,-96.000000,3000.000000
505,-100.000000,3000.000000
506,-96.000000,3000.000000
507,-100.000000,2960.000000
508,-100.000000,3000.000000
509,-96.000000,2960.000000
510,-100.000000,2960.000000
511,-100.000000,2960.000000
512,-96.000000,3000.000000
513,-96.000000,2960.000000
514,-96.000000,2960.000000
515,-96.000000,2960.000000
516,-96.000000,2960.000000
517,-96.000000,2960.000000
518,-96.000000,3000.000000
519,-100.000000,2960.000000
520,-100.000000,3000.000000
521,-100.000000,3000.000000
522,-100.000000,2960.000000
523,-100.000000,2960.000000
524,-104.000000,3000.000000
525,-92.000000,2960.000000
526,-96.000000,2960.000000
527,-96.000000,2960.000000
528,-100.000000,3000.000000
529,-96.000000,2960.000000
530,-104.000000,2960.000000
531,-104.000000,3000.000000
532,-104.000000,2960.000000
533,-100.000000,2960.000000
534,-100.000000,2960.000000
535,-100.000000,3000.000000
536,-96.000000,2960.000000
537,-96.000000,3000.000000
538,-100.000000,2960.000000
539,-104.000000,2960.000000
540,-92.000000,3000.000000
541,-100.000000,3000.000000
542,-96.000000,2960.000000
543,-100.000000,2960.000000
544,-100.000000,2960.000000
545,-104.000000,2960.000000
546,-96.000000,3000.000000
547,-100.000000,3000.000000
548,-96.000000,3000.000000
549,-96.000000,3000.000000
550,-100.000000,2960.000000
551,-96.000000,3000.000000
552,-100.000000,2960.000000
553,-96.000000,2960.000000
554,-100.000000,2960.000000
555,-100.000000,2960.000000
556,-96.000000,2960.000000
557,-96.000000,3000.000000
558,-96.000000,2960.000000
559,-100.000000,2960.000000
560,-100.000000,2960.000000
561,-104.000000,2960.000000
562,-100.000000,2960.000000
563,-100.000000,3000.000000
564,-100.000000,3000.000000
565,-100.000000,3000.000000
566,-100.000000,2960.000000
567,-96.000000,2960.000000
568,-96.000000,2960.000000
569,-100.000000,2960.000000
570,-96.000000,3000.000000
571,-100.000000,2960.000000
572,-104.000000,2960.000000
573,-96.000000,2960.000000
574,-96.000000,3000.000000
575,-100.000000,3000.000000
576,-100.000000,2960.000000
577,-100.000000,2960.000000
578,-100.000000,2960.000000
579,-100.000000,3000.000000
580,-96.000000,3000.000000
581,-100.000000,3000.000000
582,-92.000000,2960.000000
583,-96.000000,2960.000000
584,-96.000000,2960.000000
585,-100.000000,3000.000000
586,-100.000000,3000.000000
587,-104.000000,3000.000000
588,-104.000000,2960.000000
589,-104.000000,3000.000000
590,-96.000000,3000.000000
591,-96.000000,2960.000000
592,-96.000000,2960.000000
593,-96.000000,2960.000000
594,-96.000000,2960.000000
595,-96.000000,3000.000000
596,-100.000000,2960.000000
597,-100.000000,3000.000000
598,-96.000000,3000.000000
599,-100.000000,3000.000000
600,-100.000000,2960.000000
601,-96.000000,2960.000000
602,-100.000000,2960.000000
603,-92.000000,2960.000000
