SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate,SNR estimation matrix (20 columns)
-1.000000000000000000e+01,-9.000670252082301204e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,3.847866220895192782e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.375972638402014059e-01,1.295423551767627413e-01,1.456684167246738437e-01,1.320409063482529677e-01,1.185873630637102327e-01,1.224668295672683982e-01,1.351018326697921712e-01,1.399628375352610921e-01,1.350037752039866534e-01,1.241159051056705265e-01,1.397877629946330802e-01,1.491196069238806821e-01,1.342616036128442825e-01,1.245891119332763058e-01,1.410003074394990397e-01,1.236228466944396948e-01,1.432787893383695166e-01,1.458684543658049781e-01,1.340958366480350938e-01,1.495218772994741652e-01
-9.000000000000000000e+00,9.993297479176987963e-02,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,3.669367960732474785e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.728661114462869686e-01,1.650954651355807379e-01,1.822463888398138943e-01,1.676745981197007296e-01,1.535817709737384018e-01,1.577102439282699053e-01,1.703980019182641525e-01,1.757469863758243933e-01,1.702675718100889191e-01,1.598288495331401937e-01,1.759154577745233872e-01,1.846717004113027638e-01,1.698344429986826110e-01,1.603355109021093461e-01,1.764173428977800495e-01,1.592305573878814440e-01,1.792920616361549646e-01,1.813992135353299506e-01,1.696320637792269881e-01,1.857629703335881566e-01
-8.000000000000000000e+00,1.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,3.629353135697014295e+03,0.000000000000000000e+00,1.000000000000000000e+00,2.173161430528643689e-01,2.098766360519334628e-01,2.282143456827531169e-01,2.125516222182421699e-01,1.977239455514233357e-01,2.020955261693046789e-01,2.148726075585609963e-01,2.208016524610824927e-01,2.146821437940419353e-01,2.047728152780598221e-01,2.213450144408161124e-01,2.294870190765442852e-01,2.146290118391333546e-01,2.053219995260815167e-01,2.210787144765859746e-01,2.040355673067329456e-01,2.246075691247329531e-01,2.261338387333617084e-01,2.143922820407856700e-01,2.313271589456414867e-01
-7.000000000000000000e+00,2.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,3.461173406632676688e+03,0.000000000000000000e+00,1.000000000000000000e+00,2.733306017074071392e-01,2.662779837389036008e-01,2.859937112549642002e-01,2.690673711680164892e-01,2.533930707203532751e-01,2.579917464326110244e-01,2.709069825277756194e-01,2.775278324508897998e-01,2.706193098123388374e-01,2.613359971321140840e-01,2.784785146019343460e-01,2.859711104543635751e-01,2.710343948231852540e-01,2.619391738560120642e-01,2.773870381591081458e-01,2.604165533597035398e-01,2.816311505694538142e-01,2.824559387241284414e-01,2.707675938062189536e-01,2.886210292337249017e-01
-6.000000000000000000e+00,3.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,3.480256342368152218e+03,0.000000000000000000e+00,1.000000000000000000e+00,3.439105448762424522e-01,3.373113356818975284e-01,3.586316718535004222e-01,3.402377171896571739e-01,3.235856544859513351e-01,3.283816325934439395e-01,3.414996332485251695e-01,3.489482792177412418e-01,3.410653116175011990e-01,3.325247148579124623e-01,3.503392185381121737e-01,3.571532413504949766e-01,3.420584355514851294e-01,3.331963846766317627e-01,3.483681280186969320e-01,3.313677584620108862e-01,3.533912426874714074e-01,3.533663593535787406e-01,3.417685572791052118e-01,3.606733903196195357e-01
-5.000000000000000000e+00,4.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,2.906316619397738577e+03,0.000000000000000000e+00,1.000000000000000000e+00,4.328349016290113926e-01,4.267687298189224432e-01,4.499630546163263523e-01,4.298597010663479656e-01,4.120755276488148877e-01,4.170204918157064400e-01,4.304261129624723514e-01,4.388685000534989777e-01,4.297799402841763761e-01,4.221234316767210060e-01,4.407323089837090757e-01,4.468479997951438354e-01,4.314879690188418437e-01,4.228819206615442305e-01,4.378324917446009268e-01,4.206583364388640778e-01,4.437000457211883742e-01,4.426430092278497708e-01,4.311856206109331291e-01,4.512962733107265811e-01
-4.000000000000000000e+00,5.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.681567175080176169e-01,2.774686391344524509e+03,0.000000000000000000e+00,1.000000000000000000e+00,5.448619835877539508e-01,5.394244749655562332e-01,5.648141025426841599e-01,5.427138312889521199e-01,5.236152895323368250e-01,5.286362845857198733e-01,5.424402990254627577e-01,5.520794426543449429e-01,5.414968687059898977e-01,5.348962017129733626e-01,5.544472440104746269e-01,5.598587526893757937e-01,5.440905448255349830e-01,5.357646635764665710e-01,5.505786575686159035e-01,5.330329503260904378e-01,5.573564138253811473e-01,5.550420691983063426e-01,5.437911014968482837e-01,5.652876034138648587e-01
-3.000000000000000000e+00,6.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.581366951533193288e-01,2.291432351070232016e+03,0.000000000000000000e+00,1.000000000000000000e+00,6.859831843983258404e-01,6.812895345857615803e-01,7.092589918411883465e-01,6.848187679389013960e-01,6.641899347717401536e-01,6.691815070719175917e-01,6.835277957521610492e-01,6.946126630521786138e-01,6.821758602549889972e-01,6.768402728050868511e-01,6.975124912768985164e-01,7.022337982153045166e-01,6.858683844293943510e-01,6.778479532602887936e-01,6.926491656796542884e-01,6.744643049421645831e-01,7.004012732034472499e-01,6.965513010719337483e-01,6.855934700283052852e-01,7.086863337245514760e-01
-2.000000000000000000e+00,7.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.040506563582858146e-01,1.268493415865352517e+03,0.000000000000000000e+00,1.000000000000000000e+00,8.637423821424745629e-01,8.599317820223342235e-01,8.909427454493861198e-01,8.637519556214933170e-01,8.413361748206489299e-01,8.461502967622513971e-01,8.612249606128005164e-01,8.740615645372932230e-01,8.593202862669950814e-01,8.555053482978784984e-01,8.775162049581866075e-01,8.815888587833931034e-01,8.643780975073090955e-01,8.566891803142870909e-01,8.716528623632758821e-01,8.524710600276048655e-01,8.804391679523027037e-01,8.747089454685171850e-01,8.641574781116214687e-01,8.890936223951084738e-01
-1.000000000000000000e+00,8.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.340325030723047484e-01,1.400342894671248132e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.087638058512286898e+00,1.084879183122168911e+00,1.119487731583266754e+00,1.089053281993515032e+00,1.064544467188379695e+00,1.068977649828496634e+00,1.085020546644588801e+00,1.099985815134612022e+00,1.082376863147129331e+00,1.080395507679668743e+00,1.104009917857273537e+00,1.107513093742245047e+00,1.089133184524843756e+00,1.081802124474352311e+00,1.097170666582656828e+00,1.076518051661894404e+00,1.107043054771884139e+00,1.099005191637135948e+00,1.089007185541506217e+00,1.116077151240388865e+00
