noise_est=1.2600155514519429e-06, dc_offset=8.119919584714808e-06, n_samples=4095
noise_est=1.234575393027626e-06, dc_offset=1.0854700121853966e-05, n_samples=4096
noise_est=1.124724462897575e-06, dc_offset=8.39425774756819e-06, n_samples=4095
noise_est=1.2148966561653651e-06, dc_offset=4.628321221389342e-06, n_samples=4096
noise_est=1.1845800145238172e-06, dc_offset=8.393156349484343e-06, n_samples=4095
noise_est=1.0561063845671015e-06, dc_offset=5.390259957493981e-06, n_samples=4096
noise_est=1.2136970326537266e-06, dc_offset=6.584140919585479e-06, n_samples=4095
noise_est=1.1358968095009914e-06, dc_offset=1.3718059562961571e-05, n_samples=4096
noise_est=1.1521351552801207e-06, dc_offset=1.0206474144069944e-05, n_samples=4095
noise_est=1.2240302567079198e-06, dc_offset=9.516176760371309e-06, n_samples=4096
noise_est=1.1797761771958903e-06, dc_offset=1.2178481483715586e-05, n_samples=4095
noise_est=1.1103986707894364e-06, dc_offset=4.933767741022166e-06, n_samples=4096
noise_est=1.1702744586727931e-06, dc_offset=4.819939022127073e-06, n_samples=4095
noise_est=1.1168906439706916e-06, dc_offset=1.0203393685515039e-05, n_samples=4096
noise_est=1.1935774182347814e-06, dc_offset=3.259544882894261e-06, n_samples=4095
noise_est=1.1465599527582526e-06, dc_offset=4.221756171318702e-06, n_samples=4096
noise_est=1.29062414089276e-06, dc_offset=2.76805894827703e-06, n_samples=4095
noise_est=1.1443934226917918e-06, dc_offset=9.45083229453303e-06, n_samples=4096
noise_est=1.1390907275199424e-06, dc_offset=5.864365903107682e-06, n_samples=4095
noise_est=1.1795027603511699e-06, dc_offset=8.610722034063656e-06, n_samples=4096
noise_est=1.1940003332711058e-06, dc_offset=1.2104731467843521e-05, n_samples=4095
noise_est=1.2604319863385172e-06, dc_offset=5.2375326049514115e-06, n_samples=4096
noise_est=1.1638054502327577e-06, dc_offset=7.15304213372292e-06, n_samples=4095
mean_noise_power=0.0066303689527421735
noise_est=6.222288106982887e-08, dc_offset=6.617530016228557e-05, n_samples=4095
noise_est=5.5302493251474516e-08, dc_offset=6.349569594021887e-05, n_samples=4096
noise_est=6.986823564147926e-08, dc_offset=6.622957153012976e-05, n_samples=4095
noise_est=6.007088160231433e-08, dc_offset=6.388068868545815e-05, n_samples=4096
